Time,orient_mocap_X,orient_mocap_Y,orient_mocap_Z
0,-0.00100330331944185,-0.00286615316842685,-0.00575565377248859
0.005,-0.00102143295929407,-0.00301806761856304,-0.00577543116867392
0.01,-0.00123117045760876,-0.00296419913447365,-0.00578667310628671
0.015,-0.0014509821599502,-0.00297371870620894,-0.00581770353450719
0.02,-0.00165669841768953,-0.00294940121788208,-0.00580615980608586
0.025,-0.00170327766544586,-0.00291232892029786,-0.00579814141573631
0.03,-0.00154640942225592,-0.002922155213017,-0.00580637836518837
0.035,-0.0012781644466575,-0.00286035868859137,-0.00584084022967836
0.04,-0.000995809314896203,-0.00282716179955623,-0.00583732018238695
0.045,-0.000999116543917552,-0.00278489841244475,-0.0058440126708571
0.05,-0.00108432304606092,-0.00293824748208526,-0.00586354777304837
0.055,-0.00138033012691114,-0.00291137390374323,-0.00587238843402024
0.06,-0.00163303096434629,-0.0030202218468035,-0.00586749829592437
0.065,-0.00161731260923895,-0.00317509079018519,-0.0058405956626503
0.07,-0.00153581730907546,-0.00319870165320733,-0.00583438147488079
0.075,-0.00156979020303482,-0.00309067950648618,-0.00582895034927118
0.08,-0.00150861457199369,-0.00299421598416251,-0.00586328763653307
0.085,-0.00127329118087942,-0.00296765793148573,-0.00586162673142755
0.09,-0.000768513163695242,-0.00273060271080389,-0.0058938310193992
0.095,-0.000755772238113312,-0.00285384806016445,-0.00591649325995851
0.1,-0.0010466005171908,-0.00284397200617647,-0.00591738471933384
0.105,-0.00165469705746832,-0.00293541029841333,-0.00592624305129134
0.11,-0.00159570158908824,-0.00306040943791925,-0.00594452420248623
0.115,-0.00152108240294776,-0.00310247617172641,-0.00596041138422977
0.12,-0.00155945467136761,-0.0030933333400165,-0.00598139352812792
0.125,-0.00159782636405227,-0.0030841880890494,-0.00599404880672391
0.13,-0.00163619748106705,-0.00307504041882456,-0.00596800456531838
0.135,-0.00167456802247727,-0.00306589032934142,-0.00598630547688912
0.14,-0.00171293798834826,-0.00305673782059943,-0.00595607986579505
0.145,-0.00175130737874533,-0.003047582892598,-0.00592295452507171
0.15,-0.00160839636697079,-0.00292949016575715,-0.00589088380302322
0.155,-0.00143312604677592,-0.00321215203320123,-0.00585052115300371
0.16,-0.00160065433770846,-0.0029716090402852,-0.0058112217677501
0.165,-0.00146271759084307,-0.00291242456499697,-0.00578852156414854
0.17,-0.00125283995422974,-0.00290938678168515,-0.005789416876536
0.175,-0.0010100296736833,-0.00282282660778334,-0.00581080542797228
0.18,-0.000788708727259284,-0.00273499697613653,-0.00582742188006098
0.185,-0.000739245546926276,-0.00277312721328744,-0.00582923732303804
0.19,-0.00135845924482538,-0.00300112711331732,-0.00585912155579749
0.195,-0.00151666572819944,-0.00322083289670498,-0.0058527197440894
0.2,-0.00185081722439092,-0.00329626124994055,-0.00585096992152759
0.205,-0.00180316022173662,-0.00319689214197012,-0.00587715944971449
0.21,-0.00143365001031858,-0.00316574529313195,-0.00589711500799296
0.215,-0.00103832447675323,-0.00294451524302705,-0.00590765658129717
0.22,-0.00067354486279743,-0.00263297377931883,-0.00594128822515903
0.225,-0.000437094907589606,-0.00241701100721854,-0.00595993584576585
0.23,-0.000681687510441906,-0.00260279497604986,-0.00601006518735811
0.235,-0.000965988791818303,-0.00277960080958353,-0.00600962864868205
0.24,-0.00169148338012618,-0.00316382056132243,-0.00598670357133392
0.245,-0.00193286841980933,-0.0031472072518754,-0.00598094272636437
0.25,-0.00205535571362005,-0.00306118680758791,-0.00599039970353909
0.255,-0.00161004464866617,-0.00312650232702181,-0.00598687456711631
0.26,-0.00120808970684718,-0.0029921796008678,-0.00598758322571861
0.265,-0.000734654383019034,-0.00272829442524599,-0.00601171691731706
0.27,-0.000409344256136443,-0.00246415923399212,-0.00602357240406789
0.275,-0.000594578804265379,-0.00244765988186754,-0.00602855353430068
0.28,-0.00108111142304334,-0.00266963647464494,-0.00597713193896837
0.285,-0.00143574578913906,-0.00290711008001506,-0.00593381384283584
0.29,-0.00176031136380932,-0.00310700130019234,-0.00591320637740513
0.295,-0.00178457923534087,-0.00312306897037993,-0.00591930556759675
0.3,-0.00168295199585014,-0.00327861778806783,-0.00591541514955165
0.305,-0.00146802347678361,-0.00306458073113392,-0.00590557341163
0.31,-0.00076153120458721,-0.00267308773264471,-0.00594063266802407
0.315,-0.000451267595936199,-0.00249058766838697,-0.00594881109621413
0.32,-0.000581461559360872,-0.00255724703743739,-0.0059263111178381
0.325,-0.00100395391335063,-0.0028007254966224,-0.00590890482899663
0.33,-0.00131242110643331,-0.00314587559566647,-0.00591868069531141
0.335,-0.00141861566159372,-0.00318289844042032,-0.00592498969556211
0.34,-0.00152481120089989,-0.0032199185474504,-0.00594233878414804
0.345,-0.00163100772598359,-0.00325693591680646,-0.00592695587946032
0.35,-0.00173720523847656,-0.00329395054853825,-0.00592458942587897
0.355,-0.000884751247863649,-0.00273430148376029,-0.00595874141543143
0.36,-0.000616490324854308,-0.00255629779453728,-0.00596531376964476
0.365,-0.000796382806915514,-0.00268107384263394,-0.00596567167543243
0.37,-0.00124637317025573,-0.00286381986948377,-0.00595384499285148
0.375,-0.00161288081838242,-0.00300183158410888,-0.00592754877841204
0.38,-0.00177551108224219,-0.00311098292903933,-0.00588142285509932
0.385,-0.0017601788572815,-0.00317994603291808,-0.00586942686117736
0.39,-0.0017095134822802,-0.00313577255207876,-0.00585373495151674
0.395,-0.00144963210724924,-0.00299486607218967,-0.0058670940090114
0.4,-0.000985350982590851,-0.00285485602449458,-0.0058798678599641
0.405,-0.000628528248553863,-0.00263914275416152,-0.00588445911595593
0.41,-0.000735232071888994,-0.00265225381001961,-0.00589023049359112
0.415,-0.00100522946726339,-0.0026791409681766,-0.00589392424179015
0.42,-0.00130605001517389,-0.00275037158119833,-0.00588964245964927
0.425,-0.00155863682727474,-0.00293222558851908,-0.00589302427669133
0.43,-0.0017108548185352,-0.00310469071403631,-0.00590909952040394
0.435,-0.00168753636731326,-0.00315804064471115,-0.00593973173262559
0.44,-0.0014647628470417,-0.00319951909115274,-0.00595104068029228
0.445,-0.00152500406233076,-0.00305147152748093,-0.00595792415734566
0.45,-0.000898657683396886,-0.00285113700556666,-0.00596656452285451
0.455,-0.000990325155686491,-0.00256179316039847,-0.00597396595261531
0.46,-0.000716250158460423,-0.00252089067739346,-0.00597253958345679
0.465,-0.00100865897600873,-0.00264639015742886,-0.00595715093573481
0.47,-0.00143838711768301,-0.00280538996924509,-0.00593544454723672
0.475,-0.00167840262981962,-0.00296993582899906,-0.00592029039704099
0.48,-0.00169710902676893,-0.00311221992168501,-0.00591971616815565
0.485,-0.00155405227542699,-0.00314788097890125,-0.00591827312439289
0.49,-0.00130616279228336,-0.00305390495430777,-0.00593730070936477
0.495,-0.00121544716913359,-0.00301601660539162,-0.00595078159481681
0.5,-0.00115253854660924,-0.00274272828998794,-0.00594992029873229
0.505,-0.00103717270214257,-0.0026968234756675,-0.00593263342651305
0.51,-0.00129751526944964,-0.00283302704731277,-0.00591133761584908
0.515,-0.00156758941407465,-0.00289067529240149,-0.00591329458782868
0.52,-0.00167730869810244,-0.00289697074646107,-0.00594272826642357
0.525,-0.00166982036173659,-0.00289984318461578,-0.00597341490744604
0.53,-0.00164396156242928,-0.00291191824768769,-0.00599765759835039
0.535,-0.00161810295671199,-0.00292399372569664,-0.00600726252502075
0.54,-0.00159224454455605,-0.00293606961864443,-0.00600836202929502
0.545,-0.00156638632593278,-0.00294814592653286,-0.00601974923619704
0.55,-0.00154052830081351,-0.00296022264936375,-0.00602607844219773
0.555,-0.00151467046916955,-0.0029722997871389,-0.00601141843328603
0.56,-0.00151604037048031,-0.00296656313562581,-0.00599482325062221
0.565,-0.0014926879189954,-0.00312549248824778,-0.00597538544337469
0.57,-0.00144385649154496,-0.00310171484513321,-0.00595310503735622
0.575,-0.00139639222025341,-0.00297804326823751,-0.00593671343188068
0.58,-0.00114103931326565,-0.0029454461455948,-0.00593275611442468
0.585,-0.00114986344129084,-0.00288345596738808,-0.00593092562377485
0.59,-0.00115868481722989,-0.00282146540755078,-0.00593243737107479
0.595,-0.00130396197788407,-0.00289426614229078,-0.00593298886507628
0.6,-0.00144373244746886,-0.00288524087872884,-0.00592772628291411
0.605,-0.00143663933462142,-0.00290786647487273,-0.0059289843785085
0.61,-0.00156554290957382,-0.00297789330275382,-0.00593982559971788
0.615,-0.00150745649279379,-0.00297127615652062,-0.0059513548725728
0.62,-0.0013600272486498,-0.00298034050918153,-0.00593938925842359
0.625,-0.00135339496591018,-0.00303064660413561,-0.00592554164384794
0.63,-0.00134732086057847,-0.00297547366135096,-0.00591377442283918
0.635,-0.00127406434218086,-0.0028851553315609,-0.00591540963801481
0.64,-0.00119523969109214,-0.00292014476386371,-0.00589284805795287
0.645,-0.00102951640966575,-0.00286083584255137,-0.00586703507164539
0.65,-0.0010788859172025,-0.00283918329340899,-0.00585428399369534
0.655,-0.00133765052495739,-0.00293374400850513,-0.00584002042237823
0.66,-0.00155865784289127,-0.00298162064846159,-0.00581089258040869
0.665,-0.00143828278967807,-0.0029493009622363,-0.0057931241328675
0.67,-0.00136519133236402,-0.00296533223719805,-0.00580520321907721
0.675,-0.00139663158177544,-0.00299426656843045,-0.00582528277416255
0.68,-0.00139207976563078,-0.00298394699890799,-0.00585404403547084
