Time,Pos_mocap_X,Pos_mocap_Y,Pos_mocap_Z
0,0,0,0
0.005,5.42752171008684e-06,-6.75830828323313e-06,-2.20493069472278e-06
0.01,1.21993129159395e-05,-7.6178251256777e-05,-3.46342333295983e-05
0.015,2.77680192038278e-05,-0.000127616612878852,-4.50086724587879e-05
0.02,3.64768595326085e-05,-0.000148691913031725,-4.12480385836383e-05
0.025,3.2683406067848e-05,-0.000135696615633481,-3.40007569883744e-05
0.03,2.55731199771129e-05,-0.000117067514318002,-3.36664944631817e-05
0.035,7.51926440795748e-06,-9.14784690303639e-05,-3.94900103750544e-05
0.04,8.26608111227949e-06,-1.8900935206096e-05,-1.01976943665116e-05
0.045,9.04976418380019e-06,-1.6336507737532e-05,-2.1413280207454e-05
0.05,8.85037034108206e-06,-2.93220317445507e-05,-2.17123709715312e-05
0.055,1.29722805928633e-05,-9.95095215796406e-05,-4.54800725330393e-05
0.06,2.2445937088454e-05,-0.000119082129346363,-4.5194689100995e-05
0.065,2.5016280422879e-05,-0.000143978602515901,-4.60345406797746e-05
0.07,2.13540925272296e-05,-0.00014438181353222,-5.06003249297726e-05
0.075,2.01480051057529e-05,-0.000119562458060132,-4.03047102478753e-05
0.08,1.8143810449298e-05,-8.7308978197549e-05,-2.36655874162327e-05
0.085,1.25340494651856e-05,-5.15091865600998e-05,-1.26213704787614e-05
0.09,4.70657958306063e-06,1.30217246061458e-05,1.25862086770597e-05
0.095,-4.06747623037612e-07,-3.09030906669209e-06,-8.65049485285994e-06
0.1,9.07691939487599e-06,-9.57668106473033e-05,-4.97200417443247e-05
0.105,2.50956287079981e-05,-0.000157170321827356,-6.45966548106023e-05
0.11,2.81146512670539e-05,-0.00018627875447735,-6.15494039795548e-05
0.115,2.85631742500264e-05,-0.000190576549694372,-5.68477366795738e-05
0.12,2.99684393097836e-05,-0.000186912822931433,-5.4352972964856e-05
0.125,3.13737043695408e-05,-0.000183249096168495,-5.18582092501382e-05
0.13,3.2778969429298e-05,-0.000179585369405556,-4.93634455354204e-05
0.135,3.41842344890553e-05,-0.000175921642642618,-4.68686818207026e-05
0.14,3.55894995488125e-05,-0.000172257915879679,-4.43739181059848e-05
0.145,3.69947646085697e-05,-0.000168594189116741,-4.1879154391267e-05
0.15,3.83447581256313e-05,-0.000147986123391121,-4.21020586671195e-05
0.155,1.68370846261766e-05,-0.0001467191358534,-5.267547054274e-05
0.16,2.92195935830961e-05,-0.000170210121574509,-5.04647536435479e-05
0.165,2.12825673773824e-05,-0.00014591839739107,-4.93238328303442e-05
0.17,9.38013726102935e-06,-7.38658325543992e-05,-2.94063043916296e-05
0.175,8.39105968283119e-06,-1.09532089738798e-05,-5.10531229903093e-07
0.18,1.05907161348921e-05,1.3693082721317e-05,1.73363895251198e-05
0.185,4.40929131647145e-06,-7.36239556642831e-06,1.08845273708932e-05
